-1.006124	-3.033980	-0.327928	-0.866591	-3.310441	-0.971232	-3.470906	-2.197396	-0.644098	-3.935945	-1.371325	-0.608086
-1.456678	-3.027544	-0.327928	-0.911694	-3.304416	-0.969617	-3.525556	-1.756250	-0.642737	-3.489702	-1.368418	-0.606814
-1.679981	-3.021335	-0.327928	-0.933271	-3.298510	-0.967897	-3.549825	-1.534585	-0.641394	-3.263200	-1.365638	-0.605531
-1.789662	-3.015245	-0.327928	-0.443088	-3.292667	-0.966127	-3.558908	-1.422663	-0.640059	-3.146576	-1.362925	-0.604244
-1.842537	-3.009221	-0.327928	-0.197996	-3.286860	-0.964334	-3.560404	-1.365615	-0.638731	-3.084900	-1.360248	-0.602957
-1.867013	-3.003235	-0.327928	-0.075450	-3.281078	-0.962531	-3.558111	-1.336005	-0.637407	-3.050703	-1.357591	-0.601670
-1.877293	-2.997275	-0.327928	-0.514177	-3.275312	-0.960725	-3.553928	-1.320116	-0.636087	-3.030255	-1.354947	-0.600386
-1.880479	-2.991332	-0.327928	-0.732570	-3.269560	-0.958918	-3.548806	-1.311089	-0.634769	-3.016688	-1.352312	-0.599104
-1.380123	-2.985405	-0.327928	-0.840798	-3.263819	-0.457114	-3.543220	-1.305496	-0.633455	-3.506570	-1.349684	-0.597824
-1.129034	-2.979492	-0.327928	-0.893946	-3.258090	-0.206211	-3.537407	-1.301620	-0.632144	-3.747072	-1.347062	-0.596547
-1.502580	-2.973591	-0.327928	-0.919556	-3.252370	-0.580760	-3.531485	-1.298606	-0.630835	-3.362894	-1.344446	-0.595273
-1.687412	-2.967702	-0.327928	-0.931398	-3.246661	-0.767135	-3.525514	-1.296023	-0.629529	-3.167497	-1.341834	-0.594002
-1.277890	-2.961825	-0.327928	-0.936359	-3.240963	-0.859424	-3.519524	-1.293659	-0.628226	-3.566498	-1.339228	-0.592733
-1.072230	-2.955959	-0.327928	-0.937881	-3.235274	-0.904673	-3.513529	-1.291405	-0.626925	-3.761594	-1.336628	-0.591466
-0.968503	-2.950106	-0.327928	-0.937685	-3.229595	-0.926402	-3.507537	-1.289209	-0.625628	-3.854747	-1.334032	-0.590203
-1.415745	-2.944264	-0.327928	-0.936633	-3.223926	-0.936374	-3.501552	-1.287043	-0.624333	-3.396940	-1.331441	-0.588942
-1.637437	-2.938433	-0.327928	-0.935154	-3.218268	-0.940468	-3.495575	-1.284893	-0.623040	-3.164771	-1.328856	-0.587684
-1.746359	-3.432614	-0.327928	-0.433464	-3.212619	-0.941626	-3.489607	-1.282754	-0.621750	-3.045430	-1.326275	-0.586429
-1.798900	-3.675817	-0.327928	-0.182618	-3.206980	-0.941317	-3.483649	-1.280622	-0.620463	-2.982510	-1.323699	-0.585176
-1.823254	-3.293538	-0.327928	-0.057196	-3.201351	-0.940276	-3.477701	-1.278495	-0.619179	-2.947807	-1.321129	-0.583926
-1.833518	-3.099516	-0.327928	 0.005515	-3.195732	-0.938871	-3.471763	-1.276373	-0.617897	-2.927221	-1.318563	-0.582679
-1.836742	-3.499628	-0.327928	-0.463129	-3.190122	-0.937286	-3.465835	-1.274254	-1.116618	-3.413699	-1.316003	-0.581434
-1.836450	-3.695822	-0.327928	-0.696502	-3.184523	-0.935612	-3.459918	-1.272140	-1.364306	-3.652607	-1.313447	-0.580192
-1.834403	-3.790066	-0.327928	-0.812242	-3.178933	-0.933895	-3.454010	-1.270028	-1.486482	-3.767739	-1.310896	-0.578953
-1.831483	-3.333342	-0.327928	-0.869167	-3.173354	-0.932159	-2.948112	-1.267921	-1.045905	-3.320992	-1.308351	-0.577716
-1.828130	-3.102132	-0.327928	-0.896687	-3.167784	-0.930414	-2.693078	-1.265817	-0.824990	-3.094427	-1.305810	-0.576482
-1.824565	-2.983684	-0.327928	-0.909505	-3.162223	-0.928667	-3.063480	-1.263716	-0.713907	-3.477959	-1.303274	-0.575250
-1.820898	-2.921623	-0.327928	-0.914976	-3.156673	-0.926921	-3.245749	-1.261619	-0.657742	-3.665436	-1.300743	-0.574021
-1.817183	-3.387761	-0.327928	-0.916773	-3.151132	-0.925176	-3.333957	-1.259525	-0.629036	-3.254896	-1.298217	-0.572795
-1.813449	-3.617015	-0.327928	-0.916737	-3.145601	-0.923434	-3.375139	-1.257435	-0.614062	-3.046467	-1.295696	-0.571572
-1.809709	-3.227833	-0.327928	-0.915785	-3.140080	-0.921695	-3.392814	-1.255348	-0.605955	-2.939100	-1.293180	-0.570351
-1.805969	-3.030431	-0.327928	-0.914378	-3.134568	-0.919959	-3.398739	-1.253265	-0.601283	-2.882272	-1.290668	-0.569132
-1.802234	-2.928925	-0.327928	-0.912745	-3.129066	-0.918226	-3.398796	-1.251185	-0.598329	-2.850720	-1.288162	-0.567917
-1.798505	-2.875373	-0.327928	-0.911000	-3.123574	-0.916497	-2.895922	-1.249109	-0.596236	-2.831813	-1.285660	-0.566703
-1.794783	-2.845803	-0.327928	-0.909202	-3.118091	-0.914770	-3.142442	-1.247036	-0.594575	-2.819235	-1.283164	-0.565493
-1.791068	-2.828229	-0.327928	-0.907379	-3.112618	-0.913047	-3.262809	-1.244966	-0.593130	-2.809829	-1.280672	-0.564285
-1.787360	-2.816659	-0.327928	-0.905546	-3.107155	-0.911327	-3.320104	-1.242900	-0.591795	-2.802016	-1.278185	-0.563079
-1.783660	-2.808097	-0.327928	-0.903709	-3.101701	-0.909611	-3.345868	-1.240838	-1.090517	-2.795006	-1.275703	-0.561877
