-2.536665	-3.413289	-0.499836	-0.486690	-0.478559	-0.431270	-1.030622	-0.975575	-0.014108	-1.123236	-2.628569	-0.499714
-2.526518	-3.399635	-0.499836	-0.486690	-0.478559	-0.679377	-1.011356	-1.222624	-0.014108	-1.107024	-2.618054	-0.499714
-2.516412	-3.386037	-0.499836	-0.486690	-0.478559	-0.801576	-0.999738	-1.343209	-0.014108	-1.096736	-2.607582	-0.499714
-2.506346	-3.372493	-0.499836	-0.486690	-0.478559	-0.360828	-0.991953	-0.900574	-0.014108	-1.089419	-2.597152	-0.499714
-2.496321	-3.359003	-0.499836	-0.486690	-0.478559	-0.140454	-0.986092	-0.679256	-0.014108	-1.083597	-2.586763	-0.499714
-2.486336	-3.345567	-0.499836	-0.486690	-0.478559	-0.030267	-0.981201	-0.568597	-0.014108	-1.078530	-2.576416	-0.499714
-2.476390	-3.332184	-0.499836	-0.486690	-0.478559	 0.024826	-0.976803	-0.513268	-0.014108	-1.073849	-2.566111	-0.499714
-2.466485	-3.318856	-0.499836	-0.486690	-0.478559	 0.052373	-0.972659	-0.485603	-0.014108	-1.569371	-2.555846	-0.499714
-2.456619	-3.305580	-0.499836	-0.486690	-0.478559	 0.066147	-0.968650	-0.471771	-0.014108	-1.813002	-2.545623	-0.499714
-2.446792	-3.292358	-0.499836	-0.486690	-0.478559	 0.073033	-1.464717	-0.464855	-0.014108	-1.930704	-2.535440	-0.499714
-2.437005	-3.279188	-0.499836	-0.486690	-0.478559	 0.076477	-1.708828	-0.461397	-0.014108	-1.985458	-2.525299	-0.499714
-2.427257	-3.266072	-0.499836	-0.486690	-0.478559	 0.078198	-1.826978	-0.459668	-0.014108	-2.008755	-2.515197	-0.499714
-2.417548	-3.253007	-0.499836	-0.486690	-0.478559	-0.420941	-1.882163	-0.458803	-0.514108	-1.516339	-2.505137	-0.499714
-2.407878	-3.239995	-0.499836	-0.486690	-0.478559	-0.668670	-1.905880	-0.458371	-0.762080	-1.268084	-2.495116	-0.499714
-2.398246	-3.227035	-0.499836	-0.486690	-0.478559	-0.290702	-1.413880	-0.458155	-0.384046	-1.141916	-2.485136	-0.499714
-2.388653	-3.214127	-0.499836	-0.486690	-0.478559	-0.101718	-1.166036	-0.458047	-0.195028	-1.076801	-2.475195	-0.499714
